,id
234,course-v1:AnahuacX+UAX.CP1.2x+2T2023
235,course-v1:AnahuacX+UAX.CP1.3x+2T2023
236,course-v1:AnahuacX+UAX.CP2.3x+3T2022
237,course-v1:AnahuacX+UAX.CP3.2x+3T2022
238,course-v1:AnahuacX+UAX.CP4.1x+2T2023
239,course-v1:AnahuacX+UAX.MO.1x+2T2023
240,course-v1:AnahuacX+UAX.MO.2x+2T2023
241,course-v1:AnahuacX+UAX.MO.3x+2T2023
242,course-v1:AnahuacX+UAX.MO.4x+2T2023
243,course-v1:AnahuacX+UVA-CP1-1x+1T2023
244,course-v1:AnahuacX+UVA-MM1x+2T2023
245,course-v1:AnahuacX+UVA.CP10.1x+3T2023
246,course-v1:AnahuacX+UVA.CP2.3x+3T2023
247,course-v1:AnahuacX+UVA.CP6.2x+2T2023
248,course-v1:AnahuacX+UVA.CP8.1x+1T2023
249,course-v1:AnahuacX+UVA.CP8.2x+1T2023
250,course-v1:AnahuacX+UVA.MO.2x+2T2023
251,course-v1:AnahuacX+UVA.MO.3x+2T2023
252,course-v1:AnahuacX+UVA.MO.4x+2T2023
253,course-v1:AnahuacX+UVA.MO.8x+3T2023
254,course-v1:AnahuacX+UVA.MO.9x+3T2023
255,course-v1:ANUx+ANU-ASTRO1x+2T2020
256,course-v1:ANUx+ANU-ASTRO2x+2T2020
257,course-v1:ANUx+ANU-ASTRO3x+2T2020
258,course-v1:ANUx+ANU-ASTRO4x+2T2020
259,course-v1:ANUx+ANU-INDIA1x+2T2016
260,course-v1:ANUx+Igno102x+3T2015
261,course-v1:APA+DAT-ANA+1T2024
262,course-v1:APA+DAT-ANA+2T2023
263,course-v1:APA+GEN-SEX+1T2024
264,course-v1:APA+GEN-SEX+3T2023
265,course-v1:APA+LEA-COG+2T2023
266,course-v1:APA+POS-PSY+1T2024
267,course-v1:APA+POS-PSY+2T2023
268,course-v1:APA+PSY-INF+1T2024
269,course-v1:APA+PSY-INF+2T2023
270,course-v1:APA+QNT-RES+1T2024
271,course-v1:APA+QNT-RES+1T2024a
272,course-v1:APA+QUA-RES+1T2024
273,course-v1:APA+QUA-RES+2T2023
274,course-v1:ArmEducation+EDARMXES1.6x+3T2020
275,course-v1:ArmEducationX+EDARMXBI.1+2T2022
276,course-v1:ArmEducationX+EDARMXCA.6x+3T2023
277,course-v1:ArmEducationX+EDARMXES2.4x+1T2021
278,course-v1:ArmEducationX+EDARMXES2.4x+3T2022
279,course-v1:ArmEducationX+EDARMXIT.6x+1T2022
280,course-v1:ArmEducationX+EDARMXM4.x+3T2023
281,course-v1:ArmEducationX+EDARMXML.6x+2T2022
282,course-v1:ArmEducationX+EDARMXMP1.4x+3T2023
283,course-v1:ArmEducationX+EDARMXTPC1.10x+1T2021
284,course-v1:ArmEducationX+EDARMXTPC2.12x+1T2021
285,course-v1:ArmEducationX+EDARMXTPC3.9x+3T2021
286,course-v1:ArmEducationX+EDARMXTPC4.10x+3T2021
287,course-v1:ArmEducationX_UPValenciaX+EDARMX-UPV-ES1.6x+3T2023
288,course-v1:ASUx+AST111x+Test123
289,course-v1:ASUx+BC24AI+2T2023d
290,course-v1:ASUx+BC24CYB+2T2022a
291,course-v1:ASUx+BC24PTDV+1T2023a
292,course-v1:ASUx+BC24PTFSF+1T2023
293,course-v1:ASUx+CCANSR101.+1T2024
294,course-v1:ASUx+CCANSR201.+1T2024
295,course-v1:ASUx+CCANSR301+1T2024
296,course-v1:ASUx+CCANSR401+1T2024
297,course-v1:ASUx+CCLDNSPCDL+1T2024
298,course-v1:ASUx+CSE110x+2T2017
299,course-v1:ASUx+ENG101x+Test123
300,course-v1:ASUx+GBL500x+3T2016
301,course-v1:ASUx+GFA102x+2174C
302,course-v1:ASUx+GFADemox+1T2016
303,course-v1:ASUx+MAT117x+Test123
304,course-v1:ASUx+MAT210x+2181B
305,course-v1:ASUx+MBC10MLAISP+2T2023e
306,course-v1:ASUx+Video101+1T2019
307,course-v1:Avado+5HR01+2T2024
308,course-v1:Avado+5HR02+2T2024
309,course-v1:Avado+5HR03+2T2024
310,course-v1:Avado+5OS01+2T2024
311,course-v1:Avado+LD01+2T2024
312,course-v1:AWS+123+1T2024
313,course-v1:AWS+AWS-ARCH-1+3T2022
314,course-v1:AWS+AWS-AWS-OTP-AWSD14+3T2021
315,course-v1:AWS+AWS-AWS-OTP-AWSD16+1T2023
316,course-v1:AWS+AWS-AWS-OTP-AWSD16+3T2023
317,course-v1:AWS+AWS-CONT-2+2T2022
318,course-v1:AWS+AWS-CONT.2+2T2022
319,course-v1:AWS+AWS-CP-EP+3T2021
320,course-v1:AWS+AWS-DA-02+1T2021
321,course-v1:AWS+AWS-DEV-ON-AWS+2T2023
322,course-v1:AWS+AWS-DEVOPS-1+3T2021
323,course-v1:AWS+AWS-DEVOPS-2+3T2021
324,course-v1:AWS+AWS-DEVOPS-3+3T2021
325,course-v1:AWS+AWS-INTRO-CLOUD-CAREERS+2T2023
326,course-v1:AWS+AWS-IT-HANDSON+2T2023
327,course-v1:AWS+AWS-IT-OVERVIEW+2T2023
328,course-v1:AWS+AWS-ML-1+3T2022
329,course-v1:AWS+AWS-OTP-AWSD15+1T2022
330,course-v1:AWS+AWS-PRACTICE+2T2023
331,course-v1:AWS+AWS-SDK+2T2023
332,course-v1:AWS+AWS-SERVARCH+2T2023
333,course-v1:AWS+CTC-App-Python+1T2024
334,course-v1:AWS+CTC-Automation-AWS+3T2023
335,course-v1:AWS+CTC-Capstone-Architected+3T2023
336,course-v1:AWS+CTC-Consultant-Skills+3T2023
337,course-v1:AWS+CTC-Data-Analytics+3T2023
338,course-v1:AWS+CTC-DevOps-AWS+3T2023
339,course-v1:AWS+CTC-DevOps-PM+1T2024
340,course-v1:AWS+CTC-IT-Basics+3T2023
341,course-v1:AWS+CTC-Tech-Support+3T2023
342,course-v1:AWS+HLSWX+2018
343,course-v1:AWS+OTP-AWSD8+2T2022
344,course-v1:AWS+OTP-AWSD9+1T2022
345,course-v1:AWS+OTP-AWSD9+3T2022
346,course-v1:AWS+SAA-EP+1T2023a
347,course-v1:AWS+SAA-EP+3T2021
348,course-v1:AWS+SAA-EP-C03+1T2023
349,course-v1:BabsonX+BPET.ACCx+2T2018
350,course-v1:BabsonX+BPET.ETAx+2T2018
351,course-v1:BabsonX+BPET.FINx+2T2018
352,course-v1:BabsonX+BPET.MKTx+2T2017SP
353,course-v1:BabsonX+BPET.STATx+2T2018
354,course-v1:BabsonX+BPET.STRATx+3T2017
355,course-v1:BabsonX+ECON01x+2T2018
356,course-v1:BabsonX+EPS01x+2T2018
357,course-v1:BabsonX+EPS02x+2T2018a
358,course-v1:BabsonX+EPS03x+3T2018
359,course-v1:BabsonX+MIS01x+1T2019
360,course-v1:BabsonX+MKT01x+2T2019
361,course-v1:BabsonX+MOB01x+2T2018
362,course-v1:BabsonX+MOB02x+1T2019a
363,course-v1:BarbaraOakley_OlavSchewe+LLAP+2T2022
364,course-v1:BayreuthX+ubt201spo+1T2023
365,course-v1:BayreuthX+ubt201spo+1T2024
366,course-v1:BayreuthX+ubt202bio+1T2023
367,course-v1:BayreuthX+ubt203his+3T2023
368,course-v1:BayreuthX+ubt205mun+2T2023
369,course-v1:BerkeleyX+101+1012
370,course-v1:BerkeleyX+BC18DMKT+2T2022h
371,course-v1:BerkeleyX+BC24CYB+2T2022o
372,course-v1:BerkeleyX+BC24DV+2T2022l
373,course-v1:BerkeleyX+BC24FNTC+2T2022h
374,course-v1:BerkeleyX+BC24PTFSF+2T2022s
375,course-v1:BerkeleyX+BC24TPM+2T2022c
376,course-v1:BerkeleyX+BC24UX+2T2022i
377,course-v1:BerkeleyX+BCCE-01+1T2023
378,course-v1:BerkeleyX+BCCE-ME2+2T2021
379,course-v1:BerkeleyX+BCSP101x+1T2024
380,course-v1:BerkeleyX+ColWri16x+1T2023
381,course-v1:BerkeleyX+ColWri2.2x+1T2023
382,course-v1:BerkeleyX+CS88.1X+2T2024
383,course-v1:BerkeleyX+Data88.1EX+3T2024
384,course-v1:BerkeleyX+Data88.2EX+3T2024
385,course-v1:BerkeleyX+Data88.3EX+3T2024
386,course-v1:BerkeleyX+Data88E+3T2023
387,course-v1:BerkeleyX+DATAC88C.1X+1T2024
388,course-v1:BerkeleyX+DATAC88C.2X+1T2024
389,course-v1:BerkeleyX+DATAC88C.3X+1T2024
390,course-v1:BerkeleyX+GG101x+3T2023
391,course-v1:BerkeleyX+GG102x+1T2023
392,course-v1:BerkeleyX+GG103x+1T2024
393,course-v1:BerkeleyX+GG201x+1T2024
394,course-v1:BerkeleyX+GG202x+1T2024
395,course-v1:BerkeleyX+GG203x+1T2024
396,course-v1:BerkeleyX+NUSCTXW104X+2T2019
397,course-v1:BerkeleyX+SOCSCI10.1+3T2023
398,course-v1:BerkeleyX+SOCSCI10.2+3T2023
399,course-v1:BerkeleyX+SOCSCI101.1+3T2023
400,course-v1:BerkeleyX+SOCSCI101.2+3T2023
401,course-v1:BerkeleyX+SOCSCI101.3+3T2023
402,course-v1:BerkeleyX+Stat_2.1x+2T2017
403,course-v1:BerkeleyX+Stat_2.2x+2T2017
404,course-v1:BerkeleyX+Stat_2.3x+2T2017
405,course-v1:BerkeleyX+UGBA88.1X+1T2024
406,course-v1:BerkeleyX+UGBA88.2X+1T2024
407,course-v1:BerkeleyX+UGBA88.3X+1T2024
408,course-v1:BerkeleyX+UGBA88X+1T2024
409,course-v1:BerkleeX+BMPR365x+1T2024
410,course-v1:BerkleeX+MB110x+1T2024
411,course-v1:BerkleeX+MBMC-002+1T2024
412,course-v1:BerkleeX+MBMC-003+1T2024
413,course-v1:BerkleeX+OENTR-391x+1T2024
414,course-v1:BerkleeX+OHARM100x+1T2024
415,course-v1:BerkleeX+OMPRD-100x+1T2024
416,course-v1:BerkleeX+OMPRD-200x+1T2024
417,course-v1:BerkleeX+OMPRD-300x+1T2024
418,course-v1:BerkleeX+OMTHR-001x+1T2024
419,course-v1:BerkleeX+OPERF-100x+1T2024
420,course-v1:BITSx+IOT.ZG501x+2T2017
421,course-v1:BITSx+IOT.ZG503x+2T2017
422,course-v1:BITSx+IOT.ZG602x+2T2017
423,course-v1:BITSx+IOT.ZG604x+3T2017
424,course-v1:BITSx+IOT.ZG605x+3T2017
425,course-v1:BITSx+IOT.ZG606x+3T2017
426,course-v1:BITSx+IOT.ZG607x+1T2018
427,course-v1:ButlerUniversity+BC24CYB+2T2022b
428,course-v1:ButlerUniversity+BC24DV+2T2022c
429,course-v1:ButlerUniversity+BC24PTFSF+2T2022
430,course-v1:BUx+DI501x+2T2017
431,course-v1:BUx+DI502x+2T2017
432,course-v1:BUx+DI503x+2T2017
433,course-v1:BUx+DI504x+2T2017
434,course-v1:BUx+DI505x+2T2017
435,course-v1:BUx+DI601x+3T2017
436,course-v1:BUx+DI602x+3T2017
437,course-v1:BUx+GlobalHealthX+3T2018
438,course-v1:BUx+INCLU1x+1T2024
439,course-v1:BUx+PA1x+1T2024
440,course-v1:CarletonUniversity+BC24DV+2T2022
441,course-v1:CarletonUniversity+BC24PTFSF+2T2022a
442,course-v1:CaseWestern+BC24CYB+2T2022c
443,course-v1:CaseWestern+BC24DV+2T2022d
444,course-v1:CaseWestern+BC24PTFSF+2T2022b
445,course-v1:CatalystX+EMOTX1x+3T2023
446,course-v1:CatalystX+GENEQ1x+3T2023
447,course-v1:CatalystX+GenParX+3T2023
448,course-v1:CatalystX+IL-BSL.S1x+3T2017
449,course-v1:CatalystX+IL-BSL.S1x+3T2023
450,course-v1:CatalystX+IL4x+3T2023
451,course-v1:Catalystx+IL5x+3T2023
452,course-v1:CatalystX+ILDIV1x+3T2023
453,course-v1:CatalystX+ILX2+3T2023
454,course-v1:CatalystX+UB1x+3T2023
455,course-v1:ChalmersX+ChM003x+2T2023
456,course-v1:ChalmersX+ChM004x+2T2023a
457,course-v1:ChalmersX+ChM005x+2T2023
458,course-v1:ChalmersX+ChM006x+2T2023
459,course-v1:ChalmersX+ChM007x+2T2023
460,course-v1:ChalmersX+ChM008x+2T2023
461,course-v1:ChalmersX+ChM009x+1T2024
462,course-v1:ChalmersX+ChM010x+1T2024
463,course-v1:ChalmersX+ChM011x+1T2024
464,course-v1:ChalmersX+ChM012x+1T2024
465,course-v1:ChalmersX+ChM013x+1T2024
466,course-v1:ChalmersX+ChM014x+1T2024
467,course-v1:ChalmersX+ChM015x+1T2024
468,course-v1:CheckPoint+CPJS001+2T2020
469,course-v1:CheckPoint+CPJS002+2T2020
470,course-v1:CheckPoint+cpjs03+3T2020
471,course-v1:CheckPoint+cpjs06+2T2021
472,course-v1:CheckPoint+cpjs07+2T2021
473,course-v1:CheckPoint+cpjs08+3T2021
474,course-v1:CheckPoint+cpjs09+3T2022
475,course-v1:CheckPoint+cpjs10+3T2022
476,course-v1:CheckPoint+cpjs11+2T2023
477,course-v1:cleeX+CL111+2015_T1
478,course-v1:Codio+cpp1.1+1T2024
479,course-v1:Codio+cpp2.1+1T2024
480,course-v1:Codio+cpp3.1+1T2024
481,course-v1:Codio+java1.1+1T2024
482,course-v1:Codio+java2.1+1T2024
483,course-v1:Codio+java3.1+1T2024
484,course-v1:Codio+python1.1+1T2024
485,course-v1:Codio+python2.1+1T2024
486,course-v1:Codio+python3.1+1T2024
487,course-v1:ColumbiaX+AHE1x+1T2019
488,course-v1:ColumbiaX+BC18DMKT+2T2022a
489,course-v1:ColumbiaX+BC24AI+2T2023g
490,course-v1:ColumbiaX+BC24CYB+2T2022d
491,course-v1:ColumbiaX+BC24DV+2T2022e
492,course-v1:ColumbiaX+BC24FNTC+2T2022a
493,course-v1:ColumbiaX+BC24PDM+2T2022
494,course-v1:ColumbiaX+BC24PTFSF+2T2022c
495,course-v1:ColumbiaX+BC24TPM+2T2022
496,course-v1:ColumbiaX+BC24UX+2T2022b
497,course-v1:ColumbiaX+BUDDHA1x+3T2018
498,course-v1:ColumbiaX+CDE+2021_Test
